@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
760,'2020/10/13 09:04:19:196',3,238,479,1
761,'2020/10/13 09:04:19:230',3,238,479,1
762,'2020/10/13 09:04:19:263',3,238,479,1
763,'2020/10/13 09:04:19:297',3,238,479,1
764,'2020/10/13 09:04:19:330',3,238,479,1
765,'2020/10/13 09:04:19:363',3,238,479,1
766,'2020/10/13 09:04:19:396',3,238,479,1
767,'2020/10/13 09:04:19:429',3,238,479,1
768,'2020/10/13 09:04:19:463',3,238,479,1
769,'2020/10/13 09:04:19:498',3,238,479,1
770,'2020/10/13 09:04:19:530',3,238,479,1
771,'2020/10/13 09:04:19:563',3,238,479,1
772,'2020/10/13 09:04:19:596',3,238,479,1
773,'2020/10/13 09:04:19:630',3,238,479,1
774,'2020/10/13 09:04:19:663',3,238,479,1
775,'2020/10/13 09:04:19:696',3,238,479,1
776,'2020/10/13 09:04:19:730',3,238,479,1
777,'2020/10/13 09:04:19:764',3,238,479,1
778,'2020/10/13 09:04:19:796',3,238,479,1
779,'2020/10/13 09:04:19:830',3,238,479,1
780,'2020/10/13 09:04:19:863',3,238,479,1
781,'2020/10/13 09:04:19:896',3,238,479,1
782,'2020/10/13 09:04:19:930',3,238,479,1
783,'2020/10/13 09:04:19:963',3,238,479,1
784,'2020/10/13 09:04:19:996',3,238,479,1
785,'2020/10/13 09:04:20:030',3,238,479,1
786,'2020/10/13 09:04:20:063',3,238,479,1
787,'2020/10/13 09:04:20:096',3,238,479,1
788,'2020/10/13 09:04:20:131',3,238,479,1
789,'2020/10/13 09:04:20:164',3,238,479,1
790,'2020/10/13 09:04:20:196',3,238,479,1
791,'2020/10/13 09:04:20:229',3,238,479,1
792,'2020/10/13 09:04:20:263',3,238,479,1
793,'2020/10/13 09:04:20:296',3,238,479,1
794,'2020/10/13 09:04:20:330',3,238,479,1
795,'2020/10/13 09:04:20:365',3,238,479,1
796,'2020/10/13 09:04:20:397',3,238,479,1
797,'2020/10/13 09:04:20:429',3,238,479,1
798,'2020/10/13 09:04:20:463',3,238,479,1
799,'2020/10/13 09:04:20:497',3,238,479,1
800,'2020/10/13 09:04:20:530',3,238,479,1
801,'2020/10/13 09:04:20:564',3,238,479,1
802,'2020/10/13 09:04:20:596',3,238,479,1
803,'2020/10/13 09:04:20:630',3,238,479,1
804,'2020/10/13 09:04:20:663',3,238,479,1
805,'2020/10/13 09:04:20:697',3,238,479,1
806,'2020/10/13 09:04:20:729',3,238,479,1
807,'2020/10/13 09:04:20:764',3,238,479,1
808,'2020/10/13 09:04:20:797',3,238,479,1
809,'2020/10/13 09:04:20:830',3,238,479,1
810,'2020/10/13 09:04:20:864',3,238,479,1
811,'2020/10/13 09:04:20:897',3,238,479,1
812,'2020/10/13 09:04:20:930',3,238,479,1
813,'2020/10/13 09:04:20:963',3,238,479,1
814,'2020/10/13 09:04:20:996',3,238,479,1
815,'2020/10/13 09:04:21:030',3,238,479,1
816,'2020/10/13 09:04:21:063',3,238,479,1
817,'2020/10/13 09:04:21:098',3,238,479,1
818,'2020/10/13 09:04:21:130',3,238,479,1
819,'2020/10/13 09:04:21:163',3,238,479,1
820,'2020/10/13 09:04:21:196',3,238,479,1
821,'2020/10/13 09:04:21:230',3,238,479,1
822,'2020/10/13 09:04:21:263',3,238,479,1
823,'2020/10/13 09:04:21:296',3,238,479,1
824,'2020/10/13 09:04:21:330',3,238,479,1
825,'2020/10/13 09:04:21:363',3,238,479,1
826,'2020/10/13 09:04:21:396',3,238,479,1
827,'2020/10/13 09:04:21:430',3,238,479,1
828,'2020/10/13 09:04:21:463',3,238,479,1
829,'2020/10/13 09:04:21:497',3,238,479,1
830,'2020/10/13 09:04:21:529',3,238,479,1
831,'2020/10/13 09:04:21:563',3,238,479,1
832,'2020/10/13 09:04:21:597',3,238,479,1
833,'2020/10/13 09:04:21:631',3,238,479,1
834,'2020/10/13 09:04:21:664',3,238,479,1
835,'2020/10/13 09:04:21:697',3,238,479,1
836,'2020/10/13 09:04:21:730',3,238,479,1
837,'2020/10/13 09:04:21:763',3,238,479,1
838,'2020/10/13 09:04:21:800',3,238,479,1
839,'2020/10/13 09:04:21:832',3,238,479,1
840,'2020/10/13 09:04:21:866',3,238,479,1
841,'2020/10/13 09:04:21:900',3,238,479,1
842,'2020/10/13 09:04:21:931',3,238,479,1
843,'2020/10/13 09:04:21:964',3,238,479,1
844,'2020/10/13 09:04:21:996',3,238,479,1
845,'2020/10/13 09:04:22:029',3,238,479,1
846,'2020/10/13 09:04:22:063',3,238,479,1
847,'2020/10/13 09:04:22:096',3,238,479,1
848,'2020/10/13 09:04:22:129',3,238,479,1
849,'2020/10/13 09:04:22:163',3,238,479,1
850,'2020/10/13 09:04:22:196',3,238,479,1
851,'2020/10/13 09:04:22:229',3,238,479,1
852,'2020/10/13 09:04:22:263',3,155,465,1
853,'2020/10/13 09:04:22:296',3,159,469,1
854,'2020/10/13 09:04:22:329',3,163,472,1
855,'2020/10/13 09:04:22:363',3,167,474,1
856,'2020/10/13 09:04:22:398',3,169,474,1
857,'2020/10/13 09:04:22:429',3,170,474,1
858,'2020/10/13 09:04:22:463',3,171,473,1
859,'2020/10/13 09:04:22:496',3,173,469,1
860,'2020/10/13 09:04:22:529',3,174,467,1
861,'2020/10/13 09:04:22:563',3,176,466,1
862,'2020/10/13 09:04:22:596',3,177,465,1
863,'2020/10/13 09:04:22:629',3,179,464,1
864,'2020/10/13 09:04:22:663',3,181,463,1
865,'2020/10/13 09:04:22:696',3,183,462,1
866,'2020/10/13 09:04:22:731',3,185,461,1
867,'2020/10/13 09:04:22:763',3,187,461,1
868,'2020/10/13 09:04:22:796',3,191,460,1
869,'2020/10/13 09:04:22:829',3,195,459,1
870,'2020/10/13 09:04:22:863',3,200,457,1
871,'2020/10/13 09:04:22:896',3,207,454,1
872,'2020/10/13 09:04:22:929',3,214,452,1
873,'2020/10/13 09:04:22:963',3,219,450,1
874,'2020/10/13 09:04:22:996',3,222,449,1
875,'2020/10/13 09:04:23:030',3,225,449,1
876,'2020/10/13 09:04:23:063',3,226,449,1
877,'2020/10/13 09:04:23:096',3,227,451,1
878,'2020/10/13 09:04:23:129',3,228,454,1
879,'2020/10/13 09:04:23:163',3,229,458,1
880,'2020/10/13 09:04:23:197',3,230,461,1
881,'2020/10/13 09:04:23:229',3,230,463,1
882,'2020/10/13 09:04:23:263',3,230,465,1
883,'2020/10/13 09:04:23:296',3,230,468,1
884,'2020/10/13 09:04:23:329',3,230,470,1
885,'2020/10/13 09:04:23:363',3,231,471,1
886,'2020/10/13 09:04:23:396',3,232,472,1
887,'2020/10/13 09:04:23:429',3,233,472,1
888,'2020/10/13 09:04:23:463',3,235,472,1
889,'2020/10/13 09:04:23:496',3,237,471,1
890,'2020/10/13 09:04:23:530',3,238,470,1
891,'2020/10/13 09:04:23:563',3,240,469,1
892,'2020/10/13 09:04:23:596',3,241,467,1
893,'2020/10/13 09:04:23:629',3,242,465,1
894,'2020/10/13 09:04:23:664',3,242,462,1
895,'2020/10/13 09:04:23:697',3,242,456,1
896,'2020/10/13 09:04:23:729',3,242,451,1
897,'2020/10/13 09:04:23:763',3,241,446,1
898,'2020/10/13 09:04:23:796',3,241,442,1
899,'2020/10/13 09:04:23:829',3,241,439,1
900,'2020/10/13 09:04:23:863',3,241,434,1
901,'2020/10/13 09:04:23:896',3,241,426,1
902,'2020/10/13 09:04:23:929',3,241,418,1
903,'2020/10/13 09:04:23:963',3,241,412,1
904,'2020/10/13 09:04:23:997',3,241,408,1
905,'2020/10/13 09:04:24:029',3,240,400,1
906,'2020/10/13 09:04:24:063',3,240,389,1
907,'2020/10/13 09:04:24:096',3,240,378,1
908,'2020/10/13 09:04:24:129',3,240,370,1
909,'2020/10/13 09:04:24:163',3,238,360,1
910,'2020/10/13 09:04:24:197',3,237,355,1
911,'2020/10/13 09:04:24:230',3,234,347,1
912,'2020/10/13 09:04:24:263',3,233,339,1
913,'2020/10/13 09:04:24:296',3,233,331,1
914,'2020/10/13 09:04:24:331',3,233,322,1
915,'2020/10/13 09:04:24:363',3,234,316,1
916,'2020/10/13 09:04:24:396',3,234,310,1
917,'2020/10/13 09:04:24:429',3,235,304,1
918,'2020/10/13 09:04:24:463',3,235,304,1
919,'2020/10/13 09:04:24:497',3,235,304,1
920,'2020/10/13 09:04:24:529',3,235,304,1
921,'2020/10/13 09:04:24:563',3,235,304,1
922,'2020/10/13 09:04:24:596',3,235,304,1
923,'2020/10/13 09:04:24:630',3,235,304,1
924,'2020/10/13 09:04:24:664',3,235,300,1
925,'2020/10/13 09:04:24:696',3,238,296,1
926,'2020/10/13 09:04:24:729',3,239,294,1
927,'2020/10/13 09:04:24:763',3,241,286,1
928,'2020/10/13 09:04:24:797',3,243,278,1
929,'2020/10/13 09:04:24:830',3,244,273,1
930,'2020/10/13 09:04:24:863',3,244,268,1
931,'2020/10/13 09:04:24:896',3,244,264,1
932,'2020/10/13 09:04:24:929',3,244,262,1
933,'2020/10/13 09:04:24:963',3,244,260,1
934,'2020/10/13 09:04:24:997',3,244,257,1
935,'2020/10/13 09:04:25:029',3,243,252,1
936,'2020/10/13 09:04:25:063',3,242,248,1
937,'2020/10/13 09:04:25:096',3,242,243,1
938,'2020/10/13 09:04:25:129',3,242,240,1
939,'2020/10/13 09:04:25:163',3,242,236,1
940,'2020/10/13 09:04:25:196',3,242,227,1
941,'2020/10/13 09:04:25:229',3,242,220,1
942,'2020/10/13 09:04:25:263',3,242,211,1
943,'2020/10/13 09:04:25:296',3,242,201,1
944,'2020/10/13 09:04:25:330',3,242,187,1
945,'2020/10/13 09:04:25:363',3,242,179,1
946,'2020/10/13 09:04:25:396',3,241,174,1
947,'2020/10/13 09:04:25:429',3,241,174,1
948,'2020/10/13 09:04:25:463',3,241,174,1
949,'2020/10/13 09:04:25:496',3,241,174,1
950,'2020/10/13 09:04:25:529',3,241,174,1
951,'2020/10/13 09:04:25:563',3,241,174,1
952,'2020/10/13 09:04:25:597',3,241,174,1
953,'2020/10/13 09:04:25:630',3,241,167,1
954,'2020/10/13 09:04:25:663',3,242,160,1
955,'2020/10/13 09:04:25:696',3,242,152,1
956,'2020/10/13 09:04:25:729',3,242,146,1
957,'2020/10/13 09:04:25:763',3,242,141,1
958,'2020/10/13 09:04:25:797',3,242,136,1
959,'2020/10/13 09:04:25:829',3,242,128,1
